2	hebei	130000	3604	241
2	beijing	110000	100	7
2	neimeng	150000	1221	82
2	liaoning	210000	1	1
2	tianjin	120000	258	18
2	heilongjiang	230000	37	3
2	jilin	220000	39	3
2	shanxi	140000	5	1
2	jiangsu	320000	296	20
2	zhejiang	330000	163	11
2	henan	410000	79	6
2	jiangxi	360000	1326	89
2	hubei	420000	371	25
2	anhui	340000	338	23
2	hunan	430000	102	7
2	shanghai	310000	0	0
2	shandong	370000	378	26
2	fujian	350000	107	8
2	sichuan	510000	123	9
2	xizang	540000	32	3
2	gansu	620000	18	2
2	hainan	460000	19	2
2	shanxi	610000	16	2
2	guangxi	450000	49	4
2	guizhou	520000	14	1
2	guangdong	440000	215	15
2	yunnan	530000	24	2
2	chongqing	500000	5	1
2	xinjiang	650000	13	1
2	qinghai	630000	8	1
2	ningxia	640000	26	2
0	hebei	130000	32358	2158
0	beijing	110000	470	32
0	neimeng	150000	7127	476
0	liaoning	210000	14	1
0	tianjin	120000	1422	95
0	heilongjiang	230000	170	12
0	jilin	220000	162	11
0	shanxi	140000	54	4
0	jiangsu	320000	1359	91
0	zhejiang	330000	594	40
0	henan	410000	369	25
0	jiangxi	360000	5777	386
0	hubei	420000	1651	111
0	anhui	340000	1208	81
0	hunan	430000	380	26
0	shanghai	310000	10	1
0	shandong	370000	2596	174
0	sichuan	510000	273	19
0	xizang	540000	56	4
0	gansu	620000	62	5
0	hainan	460000	101	7
0	shanxi	610000	47	4
0	guangxi	450000	174	12
0	guizhou	520000	321	22
0	guangdong	440000	634	43
0	yunnan	530000	80	6
0	chongqing	500000	130	9
0	fujian	350000	265	18
6	sichuan	510000	19	2
6	xizang	540000	0	0
6	gansu	620000	6	1
6	hainan	460000	5	1
6	shanxi	610000	2	1
6	guangxi	450000	3	1
6	guizhou	520000	34	3
6	guangdong	440000	16	2
6	yunnan	530000	2	1
6	chongqing	500000	1	1
6	jiangsu	320000	63	5
6	zhejiang	330000	16	2
6	henan	410000	15	1
6	jiangxi	360000	192	13
6	hubei	420000	74	5
6	anhui	340000	28	2
6	hunan	430000	22	2
6	shanghai	310000	0	0
6	shandong	370000	108	8
6	fujian	350000	9	1
6	hebei	130000	653	44
6	beijing	110000	5	1
6	neimeng	150000	127	9
6	liaoning	210000	0	0
6	tianjin	120000	68	5
6	heilongjiang	230000	5	1
6	jilin	220000	6	1
6	shanxi	140000	3	1
6	xinjiang	650000	1	1
6	qinghai	630000	0	0
6	ningxia	640000	5	1
